Course,Department Name,Title,Pre Req
EN.553.400,EN Applied Mathematics & Statistics,Mathematical Modeling and Consulting,EN.553.361 OR EN.553.362
EN.553.401,EN Applied Mathematics & Statistics,Introduction to Research,
EN.553.402,EN Applied Mathematics & Statistics,Research and Design in Applied Mathematics: Data Mining,EN.553.436
EN.553.413,EN Applied Mathematics & Statistics,Applied Statistics and Data Analysis,EN.553.112 OR EN.553.310 OR EN.553.311 OR EN.553.420 OR EN.553.421
EN.553.414,EN Applied Mathematics & Statistics,Applied Statistics and Data Analysis II,EN.550.413
EN.553.420,EN Applied Mathematics & Statistics,Probability,AS.110.109 OR AS.110.113
EN.553.421,EN Applied Mathematics & Statistics,Honors Introduction to Probability,
EN.553.426,EN Applied Mathematics & Statistics,Introduction to Stochastic Processes,(EN.553.420 OR EN.553.421 OR EN.553.620 ) AND (EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212 )
EN.553.427,EN Applied Mathematics & Statistics,Stochastic Processes and Applications to Finance,
EN.553.428,EN Applied Mathematics & Statistics,Stochastic Processes and Applications to Finance II,EN.553.427 OR EN.553.627
EN.553.430,EN Applied Mathematics & Statistics,Mathematical Statistics,(EN.553.420 OR EN.553.421 OR EN.553.620) AND (AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295)
EN.553.431,EN Applied Mathematics & Statistics,Honors Mathematical Statistics,(EN.553.420 OR EN.553.421 OR EN.553.620) AND (AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295) AND (AS.110.202 OR AS.110.211)
EN.553.432,EN Applied Mathematics & Statistics,Bayesian Statistics,(EN.553.420 OR EN.553.421 OR EN.553.620) AND (EN.553.430 OR EN.553.431 OR EN.553.630)
EN.553.433,EN Applied Mathematics & Statistics,Monte Carlo Methods,EN.553.430 OR EN.553.431 OR EN.553.630
EN.553.436,EN Applied Mathematics & Statistics,Introduction to Data Science,(AS.110.202 OR AS.110.211) AND (AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295)
EN.553.439,EN Applied Mathematics & Statistics,Time Series Analysis,(EN.553.310 OR EN.553.311 OR EN.553.420 OR EN.553.421 OR EN.553.620) AND (AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295)
EN.553.441,EN Applied Mathematics & Statistics,Equity Markets and Quantitative Trading,EN.553.442 OR EN.553.642 or instructor's permission.
EN.553.442,EN Applied Mathematics & Statistics,Investment Science,(AS.110.109 OR AS.110.113) AND (EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212) AND (EN.553.310 OR EN.553.311 OR EN.553.420 OR EN.553.421 OR EN.553.620 OR EN.553.430 OR EN.553.431 OR EN.553.630)
EN.553.444,EN Applied Mathematics & Statistics,Introduction to Financial Derivatives,AS.110.302 AND (EN.553.420 OR EN.553.421)
EN.553.445,EN Applied Mathematics & Statistics,Interest Rate and Credit Derivatives,EN.553.444 OR EN.553.644
EN.553.446,EN Applied Mathematics & Statistics,Risk Measurement/Management in Financial Markets,EN.553.444 OR EN.553.644
EN.553.447,EN Applied Mathematics & Statistics,Quantitative Portfolio Theory and Performance Analysis,
EN.553.448,EN Applied Mathematics & Statistics,Financial Engineering and Structured Products,EN.553.442 OR EN.553.642 OR EN.553.444 OR EN.553.644
EN.553.449,EN Applied Mathematics & Statistics,Advanced Equity Derivatives,EN.553.444 OR EN.553.644
EN.553.450,EN Applied Mathematics & Statistics,Computational Molecular Medicine,(EN.553.420 OR EN.553.421 OR EN.553.620) AND ( EN.553.430 OR EN.553.431 OR EN.553.630) OR equivalent courses in probability and statistics.
EN.553.453,EN Applied Mathematics & Statistics,Mathematical Game Theory,(AS.110.202 OR AS.110.211) AND (EN.553.420 OR EN.553.620) AND (EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212)
EN.553.461,EN Applied Mathematics & Statistics,Optimization in Finance,EN.553.442 OR EN.553.642 OR EN.553.444 OR EN.553.644
EN.553.463,EN Applied Mathematics & Statistics,Network Models in Operations Research,EN.553.361 OR EN.553.661 OR EN.553.761 OR EN.553.461
EN.553.465,EN Applied Mathematics & Statistics,Introduction to Convexity,
EN.553.467,EN Applied Mathematics & Statistics,Deep Learning in Discrete Optimization,
EN.553.471,EN Applied Mathematics & Statistics,Combinatorial Analysis,( AS.110.109 OR AS.110.113 ) AND ( AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295)
EN.553.472,EN Applied Mathematics & Statistics,Graph Theory,EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212
EN.553.480,EN Applied Mathematics & Statistics,Numerical Linear Algebra,(EN.553.291 OR AS.110.201 OR AS.110.212) AND (AS.110.202 OR AS.110.211)
EN.553.481,EN Applied Mathematics & Statistics,Numerical Analysis,(AS.110.202 OR AS.110.211) AND (EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212) AND (EN.553.291 OR AS.110.302 OR AS.110.417 OR EN.553.386 OR EN.553.388 OR EN.553.391)
EN.553.488,EN Applied Mathematics & Statistics,Computing for Applied Mathematics,EN.553.310 OR EN.553.311 OR (EN.553.420 OR EN.553.421 AND (EN.553.430 OR EN.553.431))
EN.553.491,EN Applied Mathematics & Statistics,Dynamical Systems,
EN.553.492,EN Applied Mathematics & Statistics,Mathematical Biology,(EN.553.420 OR EN.553.421 OR EN.553.620) AND (AS.110.201 OR AS.110.212) AND (AS.110.302 OR AS.110.306 OR EN.553.291 OR EN.553.295)
EN.553.493,EN Applied Mathematics & Statistics,Mathematical Image Analysis,( AS.110.202 OR AS.110.211 ) AND ( EN.553.291 OR EN.553.295 OR AS.110.201 OR AS.110.212 )
EN.553.494,EN Applied Mathematics & Statistics,Applied and Computational Multilinear Algebra,AS.110.201 OR AS.110.212 OR EN.553.291 OR EN.553.295
EN.553.500,EN Applied Mathematics & Statistics,Undergraduate Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.501,EN Applied Mathematics & Statistics,Senior Thesis,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.502,EN Applied Mathematics & Statistics,Undergraduate Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.506,EN Applied Mathematics & Statistics,Capstone Experience in Data Science,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.512,EN Applied Mathematics & Statistics,Group Undergraduate Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.552,EN Applied Mathematics & Statistics,Undergraduate Internship,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.553.600,EN Applied Mathematics & Statistics,Mathematical Modeling and Consulting,
EN.553.601,EN Applied Mathematics & Statistics,Introduction to Research,
EN.553.602,EN Applied Mathematics & Statistics,Research and Design in Applied Mathematics: Data Mining,EN.553.636
EN.553.613,EN Applied Mathematics & Statistics,Applied Statistics and Data Analysis,
EN.553.614,EN Applied Mathematics & Statistics,Applied Statistics and Data Analysis II,
EN.553.620,EN Applied Mathematics & Statistics,Probability,
EN.553.626,EN Applied Mathematics & Statistics,Introduction to Stochastic Processes,EN.553.620
EN.553.627,EN Applied Mathematics & Statistics,Stochastic Processes and Applications to Finance,
EN.553.628,EN Applied Mathematics & Statistics,Stochastic Processes and Applications to Finance II,
EN.553.630,EN Applied Mathematics & Statistics,Mathematical Statistics,
EN.553.632,EN Applied Mathematics & Statistics,Bayesian Statistics,
EN.553.633,EN Applied Mathematics & Statistics,Monte Carlo Methods,
EN.553.636,EN Applied Mathematics & Statistics,Introduction to Data Science,
EN.553.639,EN Applied Mathematics & Statistics,Time Series Analysis,
EN.553.641,EN Applied Mathematics & Statistics,Equity Markets and Quantitative Trading,"EN.553.442 or EN.553.642, or instructor's permission"
EN.553.642,EN Applied Mathematics & Statistics,Investment Science,
EN.553.643,EN Applied Mathematics & Statistics,Energy Markets and Risk Management,
EN.553.644,EN Applied Mathematics & Statistics,Introduction to Financial Derivatives,
EN.553.645,EN Applied Mathematics & Statistics,Interest Rate and Credit Derivatives,
EN.553.646,EN Applied Mathematics & Statistics,Risk Measurement/Management in Financial Markets,
EN.553.647,EN Applied Mathematics & Statistics,Quantitative Portfolio Theory and Performance Analysis,
EN.553.648,EN Applied Mathematics & Statistics,Financial Engineering and Structured Products,
EN.553.649,EN Applied Mathematics & Statistics,Advanced Equity Derivatives,
EN.553.650,EN Applied Mathematics & Statistics,Computational Molecular Medicine,
EN.553.653,EN Applied Mathematics & Statistics,Mathematical Game Theory,
EN.553.661,EN Applied Mathematics & Statistics,Optimization in Finance,
EN.553.662,EN Applied Mathematics & Statistics,Optimization for Data Science,
EN.553.663,EN Applied Mathematics & Statistics,Network Models in Operations Research,
EN.553.665,EN Applied Mathematics & Statistics,Introduction to Convexity,
EN.553.667,EN Applied Mathematics & Statistics,Deep Learning in Discrete Optimization,
EN.553.669,EN Applied Mathematics & Statistics,Large-Scale Optimization For Data Science,
EN.553.671,EN Applied Mathematics & Statistics,Combinatorial Analysis,
EN.553.672,EN Applied Mathematics & Statistics,Graph Theory,
EN.553.680,EN Applied Mathematics & Statistics,Numerical Linear Algebra,
EN.553.681,EN Applied Mathematics & Statistics,Numerical Analysis,
EN.553.688,EN Applied Mathematics & Statistics,Computing for Applied Mathematics,
EN.553.691,EN Applied Mathematics & Statistics,Dynamical Systems,
EN.553.692,EN Applied Mathematics & Statistics,Mathematical Biology,
EN.553.693,EN Applied Mathematics & Statistics,Mathematical Image Analysis,
EN.553.694,EN Applied Mathematics & Statistics,Applied and Computational Multilinear Algebra,
EN.553.701,EN Applied Mathematics & Statistics,Real Analysis: Preparation for the Ph.D. Introductory Examination,
EN.553.720,EN Applied Mathematics & Statistics,Probability Theory I,
EN.553.721,EN Applied Mathematics & Statistics,Probability Theory II,
EN.553.728,EN Applied Mathematics & Statistics,Optimal Transport,
EN.553.729,EN Applied Mathematics & Statistics,Topics in Probability,
EN.553.730,EN Applied Mathematics & Statistics,Statistical Theory,
EN.553.731,EN Applied Mathematics & Statistics,Statistical Theory II,EN.553.730 OR EN.553.720 OR (AS.110.405 AND EN.553.430) Knowledge of real analysis is required.
EN.553.733,EN Applied Mathematics & Statistics,Nonparametric Bayesian Statistics,
EN.553.735,EN Applied Mathematics & Statistics,Topics in Statistical Pattern Recognition,
EN.553.736,EN Applied Mathematics & Statistics,System Identification and Likelihood Methods,
EN.553.738,EN Applied Mathematics & Statistics,"High-Dimensional Approximation, Probability, and Statistical Learning",
EN.553.739,EN Applied Mathematics & Statistics,Statistical Pattern Recognition Theory & Methods,
EN.553.740,EN Applied Mathematics & Statistics,Machine Learning I,
EN.553.741,EN Applied Mathematics & Statistics,Machine Learning II,
EN.553.742,EN Applied Mathematics & Statistics,Statistical Inference on Graphs,
EN.553.743,EN Applied Mathematics & Statistics,Equivariant Machine Learning,
EN.553.749,EN Applied Mathematics & Statistics,Advanced Financial Theory,
EN.553.753,EN Applied Mathematics & Statistics,Commodity Markets and Green Energy Finance,
EN.553.761,EN Applied Mathematics & Statistics,Nonlinear Optimization I,
EN.553.762,EN Applied Mathematics & Statistics,Nonlinear Optimization II,
EN.553.763,EN Applied Mathematics & Statistics,Stochastic Search & Optimization,
EN.553.764,EN Applied Mathematics & Statistics,"Modeling, Simulation, and Monte Carlo",
EN.553.766,EN Applied Mathematics & Statistics,Combinatorial Optimization,
EN.553.767,EN Applied Mathematics & Statistics,Iterative Algorithms in Machine Learning: Theory and Applications,
EN.553.780,EN Applied Mathematics & Statistics,Shape and Differential Geometry,
EN.553.782,EN Applied Mathematics & Statistics,Statistical Uncertainty Quantification,
EN.553.783,EN Applied Mathematics & Statistics,Reliability Analysis,
EN.553.784,EN Applied Mathematics & Statistics,Mathematical Foundations of Computational Anatomy,
EN.553.785,EN Applied Mathematics & Statistics,Asymptotic Analysis,
EN.553.790,EN Applied Mathematics & Statistics,Neural Networks and Feedback Control Systems,
EN.553.791,EN Applied Mathematics & Statistics,Internship - Financial Mathematics,
EN.553.792,EN Applied Mathematics & Statistics,Matrix Analysis and Linear Algebra,
EN.553.793,EN Applied Mathematics & Statistics,Turbulence Theory,
EN.553.794,EN Applied Mathematics & Statistics,Turbulence Theory II,
EN.553.795,EN Applied Mathematics & Statistics,Matrix Analysis and Linear Algebra II,EN.553.792
EN.553.797,EN Applied Mathematics & Statistics,Introduction to Control Theory and Optimal Control,
EN.553.799,EN Applied Mathematics & Statistics,Topics In Applied Math,
EN.553.800,EN Applied Mathematics & Statistics,Dissertation Research,
EN.553.801,EN Applied Mathematics & Statistics,Department Seminar,
EN.553.802,EN Applied Mathematics & Statistics,Graduate Independent Study,
EN.553.804,EN Applied Mathematics & Statistics,Approved External Coursework,
EN.553.806,EN Applied Mathematics & Statistics,Capstone Experience in Data Science,
EN.553.809,EN Applied Mathematics & Statistics,Master's Research,
EN.553.810,EN Applied Mathematics & Statistics,Probability & Statistics,EN.553.721
EN.553.847,EN Applied Mathematics & Statistics,Financial Mathematics Masters Seminar,
EN.553.861,EN Applied Mathematics & Statistics,Nonsmooth Optimization Seminar,
EN.580.110,EN Biomedical Engineering,"Immersive Summer Program for Education, Enrichment, and Distinction in Biomedical Engineering",
EN.580.111,EN Biomedical Engineering,Biomedical Engineering and Design,
EN.580.112,EN Biomedical Engineering,Design Team Health-Tech Project II,
EN.580.151,EN Biomedical Engineering,Structural Biology of Cells,
EN.580.153,EN Biomedical Engineering,Structural Biology of Cells Laboratory,
EN.580.204,EN Biomedical Engineering,Social Justice: Fndts & Personal Commitments,
EN.580.211,EN Biomedical Engineering,Design Team Health-Tech Project I,
EN.580.212,EN Biomedical Engineering,Design Team Health-Tech Project II,
EN.580.221,EN Biomedical Engineering,Biochemistry and Molecular Engineering,
EN.580.237,EN Biomedical Engineering,Neuro Data Design I,
EN.580.238,EN Biomedical Engineering,Neuro Data Design II,
EN.580.241,EN Biomedical Engineering,Statistical Physics,
EN.580.242,EN Biomedical Engineering,Biological Models and Simulations,
EN.580.243,EN Biomedical Engineering,Linear Signals and Systems,
EN.580.244,EN Biomedical Engineering,Nonlinear Dynamics of Biological Systems,
EN.580.246,EN Biomedical Engineering,Systems and Controls,EN.580.243
EN.580.248,EN Biomedical Engineering,Systems Biology of the Cell,
EN.580.298,EN Biomedical Engineering,Advanded Design Team,
EN.580.311,EN Biomedical Engineering,Design Team Health-Tech Project I,
EN.580.312,EN Biomedical Engineering,Design Team Health-Tech Project II,
EN.580.336,EN Biomedical Engineering,Distinguished Seminar Series in Computational Medicine,
EN.580.404,EN Biomedical Engineering,Design Team Project Definition,
EN.580.408,EN Biomedical Engineering,Design Team Leader Project Management,
EN.580.410,EN Biomedical Engineering,Effective Teaching and Management of Engineering Teams,
EN.580.411,EN Biomedical Engineering,Design Team Health-Tech Project I,
EN.580.412,EN Biomedical Engineering,Design Team Health-Tech Project II,
EN.580.413,EN Biomedical Engineering,Design Team Leader I,
EN.580.414,EN Biomedical Engineering,Design Team Leader III,
EN.580.418,EN Biomedical Engineering,Principles of Pulmonary Physiology,
EN.580.419,EN Biomedical Engineering,Philosophy of Life: A Data Science Perspective,
EN.580.420,EN Biomedical Engineering,"Immunomodulatory Biomaterials:  Design, Synthesis, and Applications",
EN.580.424,EN Biomedical Engineering,Neuroengineering and Lab,
EN.580.425,EN Biomedical Engineering,Radiology for Engineers,
EN.580.426,EN Biomedical Engineering,Neuroengineering:  The Neural Control of Movement,
EN.580.427,EN Biomedical Engineering,Microphysiological Systems and Laboratory,
EN.580.428,EN Biomedical Engineering,Genomic Data Visualization,
EN.580.430,EN Biomedical Engineering,Systems Pharmacology and Personalized Medicine,
EN.580.431,EN Biomedical Engineering,Introduction to Computational Medicine: Imaging,( AS.110.107 OR AS.110.109 OR AS.110.113) AND ( EN.553.310 OR EN.553.311 OR EN.553.420 OR EN.553.421 OR EN.553.430 OR EN.560.348 )
EN.580.432,EN Biomedical Engineering,Principles of Genomic Systems Engineering and Synthetic Biology,EN.580.452 OR EN.580.454
EN.580.433,EN Biomedical Engineering,Introduction to Computational Medicine: The Physiome,(AS.110.107 OR AS.110.109 OR AS.110.113) AND (EN.553.310 OR EN.553.311 OR EN.553.420 OR EN.553.430 OR EN.560.348)
EN.580.435,EN Biomedical Engineering,Applied Bioelectrical Engineering,
EN.580.437,EN Biomedical Engineering,Biomedical Data Design,
EN.580.438,EN Biomedical Engineering,Biomedical Data Design II,
EN.580.439,EN Biomedical Engineering,Models of the Neuron,
EN.580.441,EN Biomedical Engineering,Cellular Engineering,
EN.580.442,EN Biomedical Engineering,Tissue Engineering,
EN.580.443,EN Biomedical Engineering,Advanced Orthopaedic Tissue Engineering,Grade of B or higher in EN.580.442 OR EN.580.642
EN.580.444,EN Biomedical Engineering,Biomedical Applications of Glycoengineering,
EN.580.447,EN Biomedical Engineering,Computational Stem Cell Biology,
EN.580.452,EN Biomedical Engineering,Cell and Tissue Engineering Lab,
EN.580.453,EN Biomedical Engineering,Immunoengineering Principles and Applications with Laboratory,
EN.580.454,EN Biomedical Engineering,Methods in Nucleic Acid Sequencing Lab,
EN.580.456,EN Biomedical Engineering,Introduction to Rehabilitation Engineering,EN.580.424
EN.580.457,EN Biomedical Engineering,Introduction to Rehabilitation Engineering: Design Lab,EN.580.456
EN.580.458,EN Biomedical Engineering,Computing the Transcriptome,
EN.580.459,EN Biomedical Engineering,Seminar in Epigenetic Engineering,
EN.580.460,EN Biomedical Engineering,Epigenetics at the Crossroads of Genes and the Environment,
EN.580.462,EN Biomedical Engineering,Representations of Choice,
EN.580.464,EN Biomedical Engineering,Advanced Data Science for Biomedical Engineering,
EN.580.468,EN Biomedical Engineering,Practical Human Neuroimaging,
EN.580.471,EN Biomedical Engineering,Principles of Design of BME Instrumentation,
EN.580.475,EN Biomedical Engineering,Biomedical Data Science,(AS.110.202 OR AS.110.211) AND (AS.110.201 OR AS.110.212 OR EN.553.291) AND (EN.553.310 OR EN.553.311 OR EN.560.348 OR EN.553.420 OR EN.553.421)
EN.580.477,EN Biomedical Engineering,Biomedical Data Science Laboratory,
EN.580.479,EN Biomedical Engineering,Principles and Applications of Modern X-ray Imaging and Computed Tomography,
EN.580.480,EN Biomedical Engineering,Precision Care Medicine I,
EN.580.481,EN Biomedical Engineering,Precision Care Medicine II,(EN.580.480 OR EN.580.680)
EN.580.482,EN Biomedical Engineering,Precision Care Medicine III,
EN.580.483,EN Biomedical Engineering,Annotate a Genome,
EN.580.485,EN Biomedical Engineering,Computational Medicine: Cardiology,
EN.580.487,EN Biomedical Engineering,Computational Medicine: Cardiology Laboratory,
EN.580.488,EN Biomedical Engineering,Foundations of Computational Biology and Bioinformatics,EN.601.220
EN.580.491,EN Biomedical Engineering,"Learning, Estimation and Control",
EN.580.493,EN Biomedical Engineering,Imaging Instrumentation,
EN.580.494,EN Biomedical Engineering,Build an Imager,
EN.580.497,EN Biomedical Engineering,Advanced Design Projects,
EN.580.498,EN Biomedical Engineering,Advanced Design Projects: Genomics and Systems Biology,
EN.580.510,EN Biomedical Engineering,Biomedical Engineering Undergraduate Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.580.550,EN Biomedical Engineering,Biomedical Engineering Group Undergraduate Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.580.561,EN Biomedical Engineering,Advanced Focus Area Research,
EN.580.571,EN Biomedical Engineering,Honors Instrumentation,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
EN.580.583,EN Biomedical Engineering,Research For 3+1 Students,
EN.580.601,EN Biomedical Engineering,Special Topics in Bioengineering Innovation and Design,
EN.580.602,EN Biomedical Engineering,Special Topics in Bioengineering Innovation and Design,
EN.580.603,EN Biomedical Engineering,Special Topics in Bioengineering Innovation & Design,
EN.580.607,EN Biomedical Engineering,Regulation of Medical Devices,
EN.580.608,EN Biomedical Engineering,Identification and Validation of Medical Device Needs,
EN.580.610,EN Biomedical Engineering,Intro to Business for Healthcare Innovation & Design,
EN.580.611,EN Biomedical Engineering,Medical Device Design and Innovation,
EN.580.612,EN Biomedical Engineering,Medical Device Design and Innovation,
EN.580.614,EN Biomedical Engineering,Evidence Generation for the Medical Device Innovator,
EN.580.618,EN Biomedical Engineering,Identification and Validation of Global Health Needs,
EN.580.619,EN Biomedical Engineering,Bioengineering Innovation and Design - Global Health,
EN.580.620,EN Biomedical Engineering,Principles and Practice of Global Health Innovation and Design,
EN.580.625,EN Biomedical Engineering,Structure and Function of the Auditory and Vestibular Systems,
EN.580.627,EN Biomedical Engineering,Deep Learning for Medical Imaging,
EN.580.628,EN Biomedical Engineering,Topics in Systems Neuroscience,
EN.580.631,EN Biomedical Engineering,Introduction to Computational Medicine: Imaging,
EN.580.632,EN Biomedical Engineering,Principles of Genomic Systems Engineering and Synthetic Biology,
EN.580.635,EN Biomedical Engineering,Applied Bioelectrical Engineering,
EN.580.637,EN Biomedical Engineering,Microphysiological Systems,
EN.580.638,EN Biomedical Engineering,Biomedical Data Design II,
EN.580.639,EN Biomedical Engineering,Models of the Neuron,
EN.580.640,EN Biomedical Engineering,Systems Pharmacology and Personalized Medicine,
EN.580.641,EN Biomedical Engineering,Cellular Engineering,
EN.580.642,EN Biomedical Engineering,Tissue Engineering,
EN.580.643,EN Biomedical Engineering,Advanced Orthopaedic Tissue Engineering,
EN.580.644,EN Biomedical Engineering,Biomedical Applications of Glycoengineering,
EN.580.645,EN Biomedical Engineering,Business of Healthcare Innovation & Design II,
EN.580.646,EN Biomedical Engineering,Molecular Immunoengineering,
EN.580.647,EN Biomedical Engineering,Computational Stem Cell Biology,
EN.580.656,EN Biomedical Engineering,Introduction to Rehabilitation Engineering,
EN.580.658,EN Biomedical Engineering,Computing the Transcriptome,
EN.580.664,EN Biomedical Engineering,Advanced Data Science for Biomedical Engineering,
EN.580.668,EN Biomedical Engineering,Practical Human Neuroimaging,
EN.580.674,EN Biomedical Engineering,Introduction to Neuro-Image Processing,
EN.580.678,EN Biomedical Engineering,Biomedical Photonics I,"Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module."
EN.580.679,EN Biomedical Engineering,Principles and Applications of Modern X-ray Imaging and Computed Tomography,
EN.580.680,EN Biomedical Engineering,Precision Care Medicine,
EN.580.681,EN Biomedical Engineering,Precision Care Medicine,EN.580.480 OR EN.580.680
EN.580.682,EN Biomedical Engineering,Precision Care Medicine III,
EN.580.683,EN Biomedical Engineering,Annotate a Genome,
EN.580.688,EN Biomedical Engineering,Foundations of Computational Biology and Bioinformatics,
EN.580.689,EN Biomedical Engineering,Modern Optical Microscopy: Theory and Practice,
EN.580.691,EN Biomedical Engineering,"Learning, Estimation and Control",
EN.580.693,EN Biomedical Engineering,Imaging Instrumentation,"Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module."
EN.580.697,EN Biomedical Engineering,Biomedical Data Design,
EN.580.701,EN Biomedical Engineering,CBID Masters Advanced Project,
EN.580.702,EN Biomedical Engineering,CBID Masters Advanced Project,
EN.580.709,EN Biomedical Engineering,Sparse Representations in Computer Vision and Machine Learning,
EN.580.710,EN Biomedical Engineering,Ethical Challenges in Biomedical Engineering,
EN.580.711,EN Biomedical Engineering,Quantitative Methods in BME,
EN.580.720,EN Biomedical Engineering,"Immunomodulatory Biomaterials:  Design, Synthesis, and Applications",
EN.580.723,EN Biomedical Engineering,Introduction to MRI in Medicine,
EN.580.725,EN Biomedical Engineering,Radiology for Engineers,
EN.580.735,EN Biomedical Engineering,Advanced Seminars in Computational Medicine,
EN.580.736,EN Biomedical Engineering,Distinguished Seminar Series in Computational Medicine,
EN.580.737,EN Biomedical Engineering,Distinguished Seminar Series in Computational Medicine,
EN.580.740,EN Biomedical Engineering,Surgery for Engineers,
EN.580.742,EN Biomedical Engineering,Neural Implants and Interfaces,
EN.580.743,EN Biomedical Engineering,Advanced Topics in Genomic Data Analysis,
EN.580.745,EN Biomedical Engineering,Mathematics of Deep Learning,
EN.580.746,EN Biomedical Engineering,Imaging Science Seminar,
EN.580.747,EN Biomedical Engineering,Imaging Science Seminar,
EN.580.750,EN Biomedical Engineering,Surgineering: Systems Engineering and Data Science in Interventional Medicine,
EN.580.752,EN Biomedical Engineering,Advanced Topics in Regenerative and Immune Engineering,
EN.580.753,EN Biomedical Engineering,Cell and Tissue Engineering Lab Advanced Project,
EN.580.754,EN Biomedical Engineering,Cell & Tissue Engineering Lab,
EN.580.771,EN Biomedical Engineering,Principles of the Design of Biomedical Instrumentation,"Students must have completed Lab Safety training prior to registering for this class. To access the tutorial, login to myLearning and enter 458083 in the Search box to locate the appropriate module."
EN.580.781,EN Biomedical Engineering,Biomedical Engineering Seminar,
EN.580.782,EN Biomedical Engineering,Biomedical Engineering Seminar,
EN.580.788,EN Biomedical Engineering,Biomedical Photonics II,
EN.580.801,EN Biomedical Engineering,Research in Biomedical Engineering,
EN.580.802,EN Biomedical Engineering,Research in Biomedical Engineering,
EN.580.803,EN Biomedical Engineering,Research in Biomedical Engineering,
EN.580.805,EN Biomedical Engineering,BME MSE Independent Study,
EN.580.806,EN Biomedical Engineering,CBID Summer Research,
EN.580.812,EN Biomedical Engineering,Biomedical Graduate Research,
EN.580.821,EN Biomedical Engineering,Applied Research and Grant Methodology,EN.500.601
EN.580.843,EN Biomedical Engineering,Independent Study:  Advances in Immunoengineering,
EN.580.850,EN Biomedical Engineering,BME MSE Research Practicum,
EN.660.105,EN Center for Leadership Education,Foundations of American Enterprise,
EN.660.106,EN Center for Leadership Education,Clark Scholars Leadership Challenge,
EN.660.116,EN Center for Leadership Education,Design for Innovation: Anthro-Design Crash Course,
EN.660.203,EN Center for Leadership Education,Financial Accounting,
EN.660.250,EN Center for Leadership Education,Identifying and Capturing Markets,
EN.660.270,EN Center for Leadership Education,Clark Scholar Engineering Design I,
EN.660.299,EN Center for Leadership Education,Life Design Summer Experience Practicum,
EN.660.300,EN Center for Leadership Education,Managerial Finance,EN.660.203
EN.660.303,EN Center for Leadership Education,Managerial Accounting,EN.660.203
EN.660.308,EN Center for Leadership Education,Business Law I,EN.660.105
EN.660.310,EN Center for Leadership Education,Cases in Workplace Ethics,
EN.660.329,EN Center for Leadership Education,Social Entrepreneurship Theory and Practice. Community Based Learning,
EN.660.331,EN Center for Leadership Education,Leading Teams,
EN.660.332,EN Center for Leadership Education,Leadership Theory,
EN.660.333,EN Center for Leadership Education,Leading Change,
EN.660.340,EN Center for Leadership Education,Management Theory and Practice,
EN.660.341,EN Center for Leadership Education,Process Innovation and Quality Management,
EN.660.344,EN Center for Leadership Education,Multidisciplinary Engineering Design 1: ME Senior Design Capstone,
EN.660.345,EN Center for Leadership Education,Multidisciplinary Engineering Design 1,
EN.660.346,EN Center for Leadership Education,Multidisciplinary Engineering Design 2,
EN.660.347,EN Center for Leadership Education,Action Lab,
EN.660.352,EN Center for Leadership Education,New Product Development,EN.660.250 OR EN.500.101 OR EN.510.106 OR EN.520.137 OR EN.530.111 OR EN.560.141 OR EN.570.108 OR EN.580.111 OR EN.530.414
EN.660.380,EN Center for Leadership Education,Clark Scholar Engineering Design II,
EN.660.381,EN Center for Leadership Education,Clark Scholar Engineering Design III,
EN.660.382,EN Center for Leadership Education,Clark Scholar Engineering Design IV,
EN.660.383,EN Center for Leadership Education,Clark Scholar Engineering Design V,
EN.660.385,EN Center for Leadership Education,Clark Scholar Engineering Design VI,
EN.660.392,EN Center for Leadership Education,Social Impact Design,
EN.660.393,EN Center for Leadership Education,Advanced Multidisciplinary Design Projects,
